person_income_log,loan_percent_income_log,loan_amnt,loan_grade_enc,is_high_dti,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT
11.407576060361786,0.20701416938432615,21000,2,0,0,0,0,1,0,0,0,0
10.859018228147887,0.15700374880966475,9000,2,0,0,0,1,0,0,0,0,1
11.918397239722838,0.06765864847381481,10000,3,0,1,0,0,0,0,0,0,0
10.557633995746341,0.23111172096338664,10000,3,0,0,1,0,0,0,0,0,1
10.778977123006351,0.06765864847381481,3600,1,0,0,0,0,0,0,0,0,1
9.798182590890704,0.09531017980432487,1800,1,0,0,0,0,1,0,0,0,1
10.42978290070581,0.4054651081081644,17000,2,1,1,0,0,0,0,0,0,1
10.491301994830229,0.173953307123438,7000,1,0,0,0,0,0,1,0,0,1
10.596659732783579,0.12221763272424921,5000,2,0,1,0,0,0,0,0,0,1
11.002116507732017,0.07696104113612832,5000,1,0,0,0,0,0,1,0,0,1
10.545367754151743,0.12221763272424921,5000,2,0,0,0,1,0,0,0,0,1
11.502885230075814,0.08617769624105233,9000,1,0,0,0,1,0,0,0,0,0
11.532737896139919,0.12221763272424921,13000,1,0,0,0,0,1,0,0,0,0
12.21305322449757,0.058268908123975775,12450,3,0,1,0,0,0,0,0,0,1
10.351501163890248,0.32208349916911333,12000,1,0,0,0,1,0,0,0,0,0
10.896757843893464,0.23111172096338664,14000,2,0,0,0,0,1,0,0,0,1
10.596659732783579,0.1906203596086497,8600,1,0,0,0,0,0,1,0,0,1
11.112462823634855,0.13976194237515868,10000,2,0,0,0,1,0,0,0,0,0
10.308985993422082,0.14842000511827327,4900,2,0,0,0,1,0,0,0,0,1
10.59603455302404,0.173953307123438,7500,3,0,0,0,0,1,0,0,0,1
10.778977123006351,0.12221763272424921,6000,1,0,0,0,0,0,0,0,0,0
11.082157933374816,0.12221763272424921,8500,1,0,1,0,0,0,0,0,0,0
9.798182590890704,0.15700374880966475,3000,3,0,0,0,0,1,0,0,0,1
10.308985993422082,0.07696104113612832,2500,2,0,1,0,0,0,0,0,1,0
11.695255355062795,0.15700374880966475,20000,3,0,0,0,0,1,0,0,0,0
11.289794413577894,0.12221763272424921,10000,1,0,0,1,0,0,0,0,0,0
11.082157933374816,0.27002713721306015,20000,2,0,0,0,0,0,1,0,0,1
11.302216779257382,0.13976194237515868,12000,4,0,0,0,0,1,0,0,0,1
11.225256725762893,0.14842000511827327,12000,3,0,0,1,0,0,0,0,0,0
9.575052927597383,0.2468600779315258,4000,1,0,0,1,0,0,0,0,0,1
10.858941303591607,0.08617769624105233,4600,1,0,0,0,0,1,0,0,0,1
10.753659849198824,0.23111172096338664,12000,1,0,0,0,0,0,0,0,0,0
10.645448706505872,0.1906203596086497,8675,1,0,1,0,0,0,0,0,0,0
12.225880174775122,0.04879016416943201,10000,3,0,1,0,0,0,0,0,0,0
11.264476926102367,0.22314355131420976,19500,4,0,0,0,0,0,0,0,0,0
11.245059091624615,0.058268908123975775,4800,1,0,1,0,0,0,0,0,0,0
11.23850177707664,0.04879016416943201,3600,3,0,0,1,0,0,0,0,0,0
11.002116507732017,0.18232155679395462,11800,1,0,0,0,0,1,0,0,1,0
12.084814202636242,0.1310282624064041,24000,2,0,0,0,0,0,1,0,0,0
10.491301994830229,0.12221763272424921,4500,3,0,0,0,0,0,0,0,0,1
